from,to
2015011_2621,2015071_2621
2015011_2593,2015071_2593
2015011_222,2015071_222
2015011_2020,2015071_2020
2015011_1951,2015071_1951
2015011_1880,2015071_1880
2015011_1800,2015071_1800
2015011_1735,2015071_1735
2014012_872,2014072_872
2014012_2968,2014072_2968
2014012_238,2014072_238
2014012_168,2014072_168
2014011_3017,2014071_3017
2014011_2709,2014071_2709
2014011_1902,2014071_1902
2013012_383,2013072_383
2013012_2825,2013072_2825
2013012_2750,2013072_2750
2013011_512,2013071_512
2013011_410,2013071_410
2013011_2408,2013071_2408
2013011_224,2013071_224
2013011_1512,2013071_1512
2012012_504,2012072_504
2012012_383,2012072_383
2012012_376,2012072_376
2012012_373,2012072_373
2012012_240,2012072_240
2012011_879,2012071_879
2012011_663,2012071_663
2012011_592,2012071_592
2012011_591,2012071_591
2012011_576,2012071_576
2012011_573,2012071_573
2012011_571,2012071_571
2012011_432,2012071_432
2012011_362,2012071_362
2012011_2901,2012071_2901
2012011_2895,2012071_2895
2012011_2468,2012071_2468
2012011_2467,2012071_2467
2012011_224,2012071_224
2012011_223,2012071_223
2012011_1734,2012071_1734
2012011_1728,2012071_1728
2011012_1626,2011072_1626
2011011_3228,2011071_3228
2010011_319,2010071_319
2010011_275,2010071_275
2009012_64,2009072_64
2009012_583,2009072_583
2009012_57,2009072_57
2009012_526,2009072_526
2009012_523,2009072_523
2009012_511,2009072_511
2009012_449,2009072_449
2009012_448,2009072_448
2009012_439,2009072_439
2009012_431,2009072_431
2009012_428,2009072_428
2009012_377,2009072_377
2009012_376,2009072_376
2009012_375,2009072_375
2009012_326,2009072_326
2009012_3199,2009072_3199
2009012_3190,2009072_3190
2009012_3183,2009072_3183
2009012_312,2009072_312
2009012_3118,2009072_3118
2009012_3116,2009072_3116
2009012_3045,2009072_3045
2009012_2898,2009072_2898
2009012_2894,2009072_2894
2009012_2823,2009072_2823
2009012_2822,2009072_2822
2009012_26,2009072_26
2009012_198,2009072_198
2009011_639,2009071_639
2009011_3235,2009071_3235
2009011_3234,2009071_3234
2009011_3221,2009071_3221
2009011_3090,2009071_3090
2009011_3087,2009071_3087
2009011_3022,2009071_3022
2009011_3019,2009071_3019
2009011_3015,2009071_3015
2009011_3014,2009071_3014
2009011_3012,2009071_3012
2009011_2950,2009071_2950
2009011_2948,2009071_2948
2009011_2939,2009071_2939
2009011_2938,2009071_2938
2009011_2876,2009071_2876
2009011_2875,2009071_2875
2009011_2868,2009071_2868
2009011_2802,2009071_2802
2009011_2781,2009071_2781
2009011_2780,2009071_2780
2009011_2325,2009071_2325
2008013_104,2008073_104
2008012_3206,2008072_3206
2008012_3205,2008072_3205
2008012_2822,2008072_2822
2008011_903,2008071_903
2008011_592,2008071_592
2008011_3093,2008071_3093
2008011_295,2008071_295
2008011_294,2008071_294
2008011_2863,2008071_2863
2008011_2376,2008071_2376
2008011_223,2008071_223
2008011_222,2008071_222
2008011_2162,2008071_2162
2008011_2088,2008071_2088
2008011_1728,2008071_1728
2007012_3221,2007072_3221
2007012_3216,2007072_3216
2007011_693,2007071_693
2007011_625,2007071_625
2007011_557,2007071_557
2007011_434,2007071_434
2007011_2777,2007071_2777
2007011_2306,2007071_2306
2007011_2263,2007071_2263
2007011_1728,2007071_1728
2007011_1586,2007071_1586
2006012_3049,2006072_3049
2006011_499,2006071_499
2006011_498,2006071_498
2006011_494,2006071_494
2006011_423,2006071_423
2006011_421,2006071_421
2006011_3161,2006071_3161
2006011_3028,2006071_3028
2006011_2934,2006071_2934
2006011_2674,2006071_2674
2006011_2673,2006071_2673
2006011_224,2006071_224
2006011_1879,2006071_1879
2006011_1806,2006071_1806
2006011_1738,2006071_1738
2006011_1665,2006071_1665
2006011_1594,2006071_1594
2006011_1585,2006071_1585
2006011_1457,2006071_1457
2006011_1372,2006071_1372
2006011_1370,2006071_1370
2005013_74,2005073_74
2005013_4,2005073_4
2005013_3,2005073_3
2005013_16,2005073_16
2005012_67,2005072_67
2005012_66,2005072_66
2005012_64,2005072_64
2005012_63,2005072_63
2005012_61,2005072_61
2005012_58,2005072_58
2005012_57,2005072_57
2005012_498,2005072_498
2005012_45,2005072_45
2005012_429,2005072_429
2005012_358,2005072_358
2005012_354,2005072_354
2005012_350,2005072_350
2005012_3188,2005072_3188
2005012_281,2005072_281
2005012_280,2005072_280
2005012_208,2005072_208
2005012_207,2005072_207
2005012_201,2005072_201
2005012_199,2005072_199
2005012_198,2005072_198
2005012_196,2005072_196
2005012_137,2005072_137
2005012_135,2005072_135
2005012_1345,2005072_1345
2005012_134,2005072_134
2005012_1335,2005072_1335
2005012_133,2005072_133
2005012_130,2005072_130
2005012_129,2005072_129
2005012_127,2005072_127
2005012_125,2005072_125
2005011_3214,2005071_3214
2005011_3144,2005071_3144
2005011_3093,2005071_3093
2005011_3084,2005071_3084
2005011_3072,2005071_3072
2005011_3015,2005071_3015
2005011_3002,2005071_3002
2005011_3000,2005071_3000
2005011_2940,2005071_2940
2005011_2863,2005071_2863
2004013_9,2004073_9
2004013_36,2004073_36
2004013_30,2004073_30
2004013_21,2004073_21
2004013_20,2004073_20
2004013_19,2004073_19
2004013_16,2004073_16
2004012_718,2004072_718
2004012_715,2004072_715
2004012_65,2004072_65
2004012_645,2004072_645
2004012_642,2004072_642
2004012_641,2004072_641
2004012_640,2004072_640
2004012_63,2004072_63
2004012_570,2004072_570
2004012_569,2004072_569
2004012_497,2004072_497
2004012_425,2004072_425
2004012_359,2004072_359
2004012_349,2004072_349
2004012_2845,2004072_2845
2004012_281,2004072_281
2004012_279,2004072_279
2004012_209,2004072_209
2004011_553,2004071_553
2004011_321,2004071_321
2004011_319,2004071_319
2004011_28,2004071_28
2004011_2755,2004071_2755
2004011_2480,2004071_2480
2004011_2161,2004071_2161
2004011_1953,2004071_1953
2004011_1619,2004071_1619
2004011_158,2004071_158
2004011_1116,2004071_1116
2004011_1044,2004071_1044
2004011_103,2004071_103
2003013_60,2003073_60
2003013_14,2003073_14
2003012_793,2003072_793
2003012_649,2003072_649
2003012_526,2003072_526
2003012_516,2003072_516
2003012_432,2003072_432
2003012_380,2003072_380
2003012_307,2003072_307
2003012_2970,2003072_2970
2003012_2896,2003072_2896
2003012_2895,2003072_2895
2003012_2894,2003072_2894
2003012_2760,2003072_2760
2003012_2747,2003072_2747
2003012_182,2003072_182
2003011_821,2003071_821
2003011_790,2003071_790
2003011_785,2003071_785
2003011_719,2003071_719
2003011_693,2003071_693
2003011_623,2003071_623
2003011_570,2003071_570
2003011_569,2003071_569
2003011_553,2003071_553
2003011_497,2003071_497
2003011_421,2003071_421
2003011_349,2003071_349
2003011_3216,2003071_3216
2003011_3164,2003071_3164
2003011_3012,2003071_3012
2003011_2997,2003071_2997
2003011_2940,2003071_2940
2003011_2794,2003071_2794
2003011_2783,2003071_2783
2003011_2776,2003071_2776
2003011_2703,2003071_2703
2003011_2449,2003071_2449
2003011_2408,2003071_2408
2003011_2263,2003071_2263
2003011_1906,2003071_1906
2003011_1839,2003071_1839
2003011_1766,2003071_1766
2003011_1404,2003071_1404
2003011_1189,2003071_1189
2003011_1097,2003071_1097
2002013_81,2002073_81
2002013_8,2002073_8
2002013_75,2002073_75
2002013_24,2002073_24
2002013_20,2002073_20
2002013_15,2002073_15
2002012_95,2002072_95
2002012_859,2002072_859
2002012_788,2002072_788
2002012_644,2002072_644
2002012_62,2002072_62
2002012_569,2002072_569
2002012_42,2002072_42
2002012_373,2002072_373
2002012_3218,2002072_3218
2002012_3212,2002072_3212
2002012_3195,2002072_3195
2002012_3194,2002072_3194
2002012_3182,2002072_3182
2002012_3119,2002072_3119
2002012_3118,2002072_3118
2002012_3111,2002072_3111
2002012_3050,2002072_3050
2002012_3049,2002072_3049
2002012_2966,2002072_2966
2002012_2910,2002072_2910
2002012_2892,2002072_2892
2002012_239,2002072_239
2002012_1470,2002072_1470
2002012_1374,2002072_1374
2002011_643,2002071_643
2002011_574,2002071_574
2002011_3212,2002071_3212
2002011_3172,2002071_3172
2002011_2194,2002071_2194
2001013_9,2001073_9
2001013_4,2001073_4
2001013_3,2001073_3
2001013_20,2001073_20
2001012_848,2001072_848
2001012_709,2001072_709
2001012_565,2001072_565
2001012_54,2001072_54
2001012_50,2001072_50
2001012_349,2001072_349
2001012_3274,2001072_3274
2001012_3202,2001072_3202
2001012_3194,2001072_3194
2001012_3191,2001072_3191
2001012_3135,2001072_3135
2001012_3117,2001072_3117
2001012_3115,2001072_3115
2001012_2838,2001072_2838
2001012_262,2001072_262
2001012_200,2001072_200
2001012_193,2001072_193
2001012_1915,2001072_1915
2001012_122,2001072_122
2001011_587,2001071_587
2001011_2824,2001071_2824
2001011_1439,2001071_1439
2001011_1025,2001071_1025
2000012_953,2000072_953
2000012_95,2000072_95
2000012_882,2000072_882
2000012_803,2000072_803
2000012_648,2000072_648
2000012_594,2000072_594
2000012_587,2000072_587
2000012_527,2000072_527
2000012_526,2000072_526
2000012_523,2000072_523
2000012_522,2000072_522
2000012_521,2000072_521
2000012_518,2000072_518
2000012_516,2000072_516
2000012_455,2000072_455
2000012_454,2000072_454
2000012_450,2000072_450
2000012_449,2000072_449
2000012_448,2000072_448
2000012_446,2000072_446
2000012_384,2000072_384
2000012_383,2000072_383
2000012_376,2000072_376
2000012_375,2000072_375
2000012_326,2000072_326
2000012_3049,2000072_3049
2000012_2978,2000072_2978
2000012_2911,2000072_2911
2000012_2910,2000072_2910
2000012_2908,2000072_2908
2000012_2907,2000072_2907
2000012_2903,2000072_2903
2000012_2895,2000072_2895
2000012_2826,2000072_2826
2000012_2825,2000072_2825
2000012_2822,2000072_2822
2000012_2749,2000072_2749
2000012_190,2000072_190
2000011_852,2000071_852
2000011_848,2000071_848
2000011_831,2000071_831
2000011_715,2000071_715
2000011_712,2000071_712
2000011_710,2000071_710
2000011_61,2000071_61
2000011_572,2000071_572
2000011_563,2000071_563
2000011_428,2000071_428
2000011_416,2000071_416
2000011_275,2000071_275
2000011_274,2000071_274
2000011_2599,2000071_2599
2000011_2598,2000071_2598
2000011_2379,2000071_2379
2000011_2377,2000071_2377
2000011_2308,2000071_2308
2000011_2235,2000071_2235
2000011_1379,2000071_1379
2000011_1180,2000071_1180
